Sample,Lat.,Long.,Water depth (m),cm,Foram_IMG,POROSITY AVERAGE,POROSITY DEV STD,Threshold,PORE NUMBER AVERAGE,PORE NUMBER DEV STD,DIAMETER AVERAGE,DIAMETER DEV STD,TEST AREA AVERAGE,TEST AREA DEV STD,FORAM SIZE AVERAGE,FORAM SIZE DEV STD,PORE DENSITY AVERAGE,PORE DENSITY DEV STD,Side,Chamber,SpecimenID,Morphotype,Species,Status of preservation,Missing chambers VENTRAL ,Missing chambers  DORSAL,Chambers last whorl,Image pixel size,Image magnification (x),Stained or Not Stained,Fraction,"14C age
0 = Modern
(for graphs)",±,Corg-korr,CaCO3,Opalgehalt,C/Nentk,Mean,Median,Mean/Median,Mode,StanDev,Skewness,Kurtosis,%Clay,%Silt,%Sand,DIVA oxygen,Temp,Salinity,pH,CO3,d13C-DIC,NO3,Phosphate,SiO4,ONI3.4,ONI1.2,PDO NOAA-NCDC,PDO Nathan Mantua,Cruise,Year,modischlorophyll_CollectionMonth,SeaWiFS Updated CbPM,Age,"Comments (P = penultimate, AP = antepenultimate)"
GeoB15022-2,-27.29,-71.05,545,02-Mar,20221103_0001.tif,15.14866667,0.225777778,169,8.666666667,0.222222222,9.148391542,0.082337387,3750,0,,,0.002311111,5.93E-05,Ventral,Penultimate,1,Cibicidoides wuellerstorfi forma plana,Cibicidoides wuellerstorfi,Good (4),1,1,11,2560x1920,400,Not Stained,150,0,,,,,,,,,,,,,,,,68.58285,6.98534,34.45092,7.51578,46.82859,0.26249,33.71401,2.84009,31.24061,-1.6,-1.31,-1.57,-0.82,Sonne 211,2010,1.71,61.75236597,Likely Holocene,
GeoB15022-2,-27.29,-71.05,545,02-Mar,20221103_0002.tif,16.70433333,1.492444444,165,11.33333333,0.222222222,8.389757985,0.326432507,3750,0,,,0.003022222,5.93E-05,Ventral,Antepenultimate,1,Cibicidoides wuellerstorfi forma plana,Cibicidoides wuellerstorfi,Good (4),1,1,11,2560x1920,400,Not Stained,150,0,,,,,,,,,,,,,,,,68.58285,6.98534,34.45092,7.51578,46.82859,0.26249,33.71401,2.84009,31.24061,-1.6,-1.31,-1.57,-0.82,Sonne 211,2010,1.71,61.75236597,Likely Holocene,
GeoB15022-2,-27.29,-71.05,545,02-Mar,20220703_0005.tif,9.195481628,0.801872247,167,882,5.333333333,8.615055377,0.217791367,505581.5827,680.9991111,802.3255338,0.540484773,0.001744546,1.29E-05,Ventral,Whole test,1,Cibicidoides wuellerstorfi forma plana,Cibicidoides wuellerstorfi,Good (4),1,1,11,2560x1920,80,Not Stained,150,0,,,,,,,,,,,,,,,,68.58285,6.98534,34.45092,7.51578,46.82859,0.26249,33.71401,2.84009,31.24061,-1.6,-1.31,-1.57,-0.82,Sonne 211,2010,1.71,61.75236597,Likely Holocene,
GeoB15022-2,-27.29,-71.05,545,02-Mar,20221503_0002.tif,14.547,0.242,156,7.5,0,9.634968291,0.080332709,3750,0,,,0.002,0,Dorsal,Penultimate,1,Cibicidoides wuellerstorfi forma plana,Cibicidoides wuellerstorfi,Good (4),1,1,11,2560x1920,400,Not Stained,150,0,,,,,,,,,,,,,,,,68.58285,6.98534,34.45092,7.51578,46.82859,0.26249,33.71401,2.84009,31.24061,-1.6,-1.31,-1.57,-0.82,Sonne 211,2010,1.71,61.75236597,Likely Holocene,
GeoB15022-2,-27.29,-71.05,545,02-Mar,20221503_0003.tif,17.34133333,0.249111111,161,9.666666667,0.777777778,9.292515273,0.341614012,3750,0,,,0.002577778,0.000207407,Dorsal,Antepenultimate,1,Cibicidoides wuellerstorfi forma plana,Cibicidoides wuellerstorfi,Good (4),1,1,11,2560x1920,400,Not Stained,150,0,,,,,,,,,,,,,,,,68.58285,6.98534,34.45092,7.51578,46.82859,0.26249,33.71401,2.84009,31.24061,-1.6,-1.31,-1.57,-0.82,Sonne 211,2010,1.71,61.75236597,Likely Holocene,
GeoB15022-2,-27.29,-71.05,545,02-Mar,20221503_0001.tif,8.735158198,0.43100076,172,822.3333333,10.88888889,8.525747074,0.147383872,538078.4973,1644.959111,827.7080498,1.264693199,0.001528372,2.49E-05,Dorsal,Whole test,1,Cibicidoides wuellerstorfi forma plana,Cibicidoides wuellerstorfi,Good (4),1,1,11,2560x1920,80,Not Stained,150,0,,,,,,,,,,,,,,,,68.58285,6.98534,34.45092,7.51578,46.82859,0.26249,33.71401,2.84009,31.24061,-1.6,-1.31,-1.57,-0.82,Sonne 211,2010,1.71,61.75236597,Likely Holocene,
GeoB7138-1,-30.13316,-71.8695,2733,0-1,20221103_0019.tif,4.962,0.316666667,177,11.16666667,1.111111111,4.620765656,0.089407023,3750,0,,,0.002977778,0.000296296,Ventral,Penultimate,10,Cibicidoides wuellerstorfi forma plana,Cibicidoides wuellerstorfi,Excellent (5),1,1,11,2560x1920,400,Stained,212,0,if stained = modern,1.484,,3.98,7.04787234,24.05,12.32,1.952,23.81,31.84,2.626,8.244,12.098,78.65,9.24598,145.83682,1.58269,34.66893,7.62458,69.2415,0.2458,36.17021,2.4868,139.80857,-0.33,0.18,-1.18,-0.31,Sonne 156,2001,1.77,831.3157266,Likely Modern,
GeoB7138-1,-30.13316,-71.8695,2733,0-1,20221103_0019.tif,3.993333333,0.485111111,186,5.333333333,1.111111111,6.040350538,0.239303086,3750,0,,,0.001422222,0.000296296,Ventral,Antepenultimate,10,Cibicidoides wuellerstorfi forma plana,Cibicidoides wuellerstorfi,Excellent (5),1,1,11,2560x1920,400,Stained,212,0,if stained = modern,1.484,,3.98,7.04787234,24.05,12.32,1.952,23.81,31.84,2.626,8.244,12.098,78.65,9.24598,145.83682,1.58269,34.66893,7.62458,69.2415,0.2458,36.17021,2.4868,139.80857,-0.33,0.18,-1.18,-0.31,Sonne 156,2001,1.77,831.3157266,Likely Modern,
GeoB7138-1,-30.13316,-71.8695,2733,0-1,20220703_0025.tif,0.810969805,0.234675237,135,118.6666667,7.777777778,3.627393277,0.386899807,157077.5863,1092.770222,447.2076683,1.557635255,0.000755898,5.36E-05,Ventral,Whole test,10,Cibicidoides wuellerstorfi forma plana,Cibicidoides wuellerstorfi,Excellent (5),1,1,11,2560x1920,180,Stained,212,0,if stained = modern,1.484,,3.98,7.04787234,24.05,12.32,1.952,23.81,31.84,2.626,8.244,12.098,78.65,9.24598,145.83682,1.58269,34.66893,7.62458,69.2415,0.2458,36.17021,2.4868,139.80857,-0.33,0.18,-1.18,-0.31,Sonne 156,2001,1.77,831.3157266,Likely Modern,
GeoB7138-1,-30.13316,-71.8695,2733,0-1,20221503_0020.tif,8.004333333,0.316444444,167,19.5,1.333333333,4.444804032,0.247231277,3750,0,,,0.0052,0.000355556,Dorsal,Penultimate,10,Cibicidoides wuellerstorfi forma plana,Cibicidoides wuellerstorfi,Excellent (5),1,1,11,2560x1920,400,Stained,212,0,if stained = modern,1.484,,3.98,7.04787234,24.05,12.32,1.952,23.81,31.84,2.626,8.244,12.098,78.65,9.24598,145.83682,1.58269,34.66893,7.62458,69.2415,0.2458,36.17021,2.4868,139.80857,-0.33,0.18,-1.18,-0.31,Sonne 156,2001,1.77,831.3157266,Likely Modern,
